                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.37703,                0.70121,                 1.0816,                0.61451,                0.85347,                0.82839,                0.75661,                0.51366,                0.82339,                 1.0615,              0.0010407,              0.0010407,              0.0010407
                     36,                0.38824,                0.71657,                 1.0827,                0.71664,                0.81763,                0.82755,                 0.7712,                0.49172,                0.65973,                 1.0054,              0.0010293,              0.0010293,              0.0010293
                     37,                0.38676,                0.71485,                 1.0907,                0.66596,                0.77039,                0.80205,                0.74804,                0.51978,                0.92902,                 1.0601,              0.0010179,              0.0010179,              0.0010179
                     38,                0.39154,                0.71008,                 1.0847,                0.74742,                0.74812,                0.78891,                0.73902,                0.44659,                0.70689,                0.98016,              0.0010064,              0.0010064,              0.0010064
                     39,                0.39166,                0.69021,                 1.0878,                0.80201,                 0.6584,                0.77225,                0.71717,                0.51328,                0.71291,                 1.0691,             0.00099502,             0.00099502,             0.00099502
                     40,                 0.3965,                0.71161,                 1.0862,                0.72084,                0.77002,                0.81465,                0.75524,                0.47622,                0.78369,                 1.0404,              0.0009836,              0.0009836,              0.0009836
                     41,                0.38374,                0.69726,                 1.0825,                0.80082,                0.78043,                0.85358,                0.80606,                0.44961,                0.62454,                0.97035,             0.00097218,             0.00097218,             0.00097218
                     42,                0.37453,                 0.6838,                 1.0754,                0.75535,                 0.7894,                0.83708,                 0.7784,                 0.4556,                0.65628,                0.95422,             0.00096076,             0.00096076,             0.00096076
                     43,                0.38469,                0.68078,                 1.0788,                 0.7011,                0.83269,                0.84895,                0.78343,                0.49286,                0.63009,                 1.0444,             0.00094934,             0.00094934,             0.00094934
                     44,                0.38201,                0.68556,                 1.0799,                0.75507,                 0.6855,                0.83071,                0.77726,                0.45562,                0.76404,                0.99455,             0.00093792,             0.00093792,             0.00093792
                     45,                0.37591,                0.67626,                 1.0839,                0.69275,                 0.8581,                0.84863,                0.78751,                0.49724,                0.74408,                 1.0197,              0.0009265,              0.0009265,              0.0009265
                     46,                0.37001,                0.66784,                 1.0708,                0.72328,                0.84035,                 0.8578,                0.79539,                0.42738,                0.60229,                0.92605,             0.00091507,             0.00091507,             0.00091507
                     47,                0.37634,                 0.6657,                  1.081,                0.72456,                0.79886,                0.83498,                0.77755,                0.48828,                0.64666,                 1.0092,             0.00090365,             0.00090365,             0.00090365
                     48,                0.37055,                0.65612,                 1.0745,                0.79109,                0.64557,                0.81605,                0.75764,                0.49201,                0.73857,                 1.0906,             0.00089223,             0.00089223,             0.00089223
                     49,                0.37573,                0.67244,                 1.0814,                0.68777,                 0.8571,                0.83489,                0.77343,                0.43957,                0.61884,                 1.0009,             0.00088081,             0.00088081,             0.00088081
                     50,                0.37493,                 0.6633,                 1.0729,                0.77642,                0.81681,                0.84441,                0.77742,                0.46325,                0.62437,                0.99977,             0.00086939,             0.00086939,             0.00086939
                     51,                  0.373,                0.67005,                 1.0707,                0.67542,                0.87028,                0.84666,                0.79068,                 0.4365,                0.69289,                0.95149,             0.00085797,             0.00085797,             0.00085797
                     52,                 0.3751,                0.65965,                 1.0762,                0.74754,                0.84305,                0.84158,                 0.7875,                0.44537,                0.62587,                0.95388,             0.00084655,             0.00084655,             0.00084655
                     53,                0.37562,                0.65224,                 1.0765,                0.63225,                0.85439,                0.81532,                0.76053,                0.48286,                 0.6675,                0.98548,             0.00083513,             0.00083513,             0.00083513
                     54,                0.38588,                0.65546,                  1.076,                0.65725,                0.84479,                0.83007,                0.77213,                0.48409,                 0.7044,                 1.0082,             0.00082371,             0.00082371,             0.00082371
                     55,                0.37524,                0.66337,                  1.081,                0.76772,                0.79654,                0.84379,                0.77848,                 0.4715,                0.58585,                0.97773,             0.00081229,             0.00081229,             0.00081229
                     56,                0.36801,                0.63836,                 1.0686,                0.76602,                0.77839,                0.84742,                0.79129,                0.45911,                0.58834,                0.94914,             0.00080087,             0.00080087,             0.00080087
                     57,                0.37244,                0.66251,                  1.073,                   0.77,                0.83489,                0.86271,                0.80737,                0.44128,                0.60013,                0.94311,             0.00078945,             0.00078945,             0.00078945
                     58,                0.35745,                0.62808,                 1.0677,                0.78874,                 0.7812,                0.87559,                0.82372,                0.43195,                0.69851,                0.92772,             0.00077803,             0.00077803,             0.00077803
                     59,                0.38224,                0.65623,                 1.0788,                0.82269,                0.75476,                 0.8683,                0.80582,                0.44351,                0.58509,                0.93416,             0.00076661,             0.00076661,             0.00076661
                     60,                0.36115,                0.64477,                 1.0716,                 0.7889,                0.81533,                0.85717,                0.79299,                0.46426,                0.58837,                0.96975,             0.00075519,             0.00075519,             0.00075519
                     61,                0.35795,                0.65088,                 1.0656,                 0.7619,                0.80419,                0.86928,                0.81409,                0.45096,                0.60385,                0.95559,             0.00074377,             0.00074377,             0.00074377
                     62,                0.37042,                0.63623,                 1.0714,                0.62561,                0.92268,                0.84777,                0.77412,                0.46903,                0.62679,                 0.9888,             0.00073235,             0.00073235,             0.00073235
                     63,                0.36192,                0.63734,                 1.0686,                0.74491,                0.78749,                0.83904,                0.77532,                0.44535,                0.59232,                0.95599,             0.00072092,             0.00072092,             0.00072092
                     64,                0.35488,                 0.6227,                 1.0577,                0.73231,                0.79162,                0.84589,                0.77698,                0.48619,                0.58029,                0.99442,              0.0007095,              0.0007095,              0.0007095
                     65,                 0.3479,                0.62387,                 1.0586,                0.75706,                0.81556,                0.86744,                0.80198,                0.44238,                0.58103,                 0.9448,             0.00069808,             0.00069808,             0.00069808
                     66,                 0.3639,                0.61334,                   1.07,                0.82207,                0.77681,                0.88051,                0.82213,                0.43131,                   0.62,                0.92808,             0.00068666,             0.00068666,             0.00068666
